"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" 🮨 ","1FBA8","BOX DRAWINGS LIGHT DIAGONAL UPPER CENTRE TO MIDDLE LEFT AND MIDDLE RIGHT TO LOWER CENTRE","Other Symbol",NA,"No","Symbols_For_Legacy_Computing","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",129960
" 🮩 ","1FBA9","BOX DRAWINGS LIGHT DIAGONAL UPPER CENTRE TO MIDDLE RIGHT AND MIDDLE LEFT TO LOWER CENTRE","Other Symbol",NA,"No","Symbols_For_Legacy_Computing","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",129961
" 🮪 ","1FBAA","BOX DRAWINGS LIGHT DIAGONAL UPPER CENTRE TO MIDDLE RIGHT TO LOWER CENTRE TO MIDDLE LEFT","Other Symbol",NA,"No","Symbols_For_Legacy_Computing","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",129962
" 🮫 ","1FBAB","BOX DRAWINGS LIGHT DIAGONAL UPPER CENTRE TO MIDDLE LEFT TO LOWER CENTRE TO MIDDLE RIGHT","Other Symbol",NA,"No","Symbols_For_Legacy_Computing","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",129963
" 🮬 ","1FBAC","BOX DRAWINGS LIGHT DIAGONAL MIDDLE LEFT TO UPPER CENTRE TO MIDDLE RIGHT TO LOWER CENTRE","Other Symbol",NA,"No","Symbols_For_Legacy_Computing","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",129964
" 🮭 ","1FBAD","BOX DRAWINGS LIGHT DIAGONAL MIDDLE RIGHT TO UPPER CENTRE TO MIDDLE LEFT TO LOWER CENTRE","Other Symbol",NA,"No","Symbols_For_Legacy_Computing","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",129965
" 🮮 ","1FBAE","BOX DRAWINGS LIGHT DIAGONAL DIAMOND","Other Symbol",NA,"No","Symbols_For_Legacy_Computing","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",129966
" 🮯 ","1FBAF","BOX DRAWINGS LIGHT HORIZONTAL WITH VERTICAL STROKE","Other Symbol",NA,"No","Symbols_For_Legacy_Computing","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",129967
" 🮰 ","1FBB0","ARROWHEAD-SHAPED POINTER","Other Symbol",NA,"No","Symbols_For_Legacy_Computing","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",129968
" 🮱 ","1FBB1","INVERSE CHECK MARK","Other Symbol",NA,"No","Symbols_For_Legacy_Computing","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",129969
